"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/update.feature: Verify that the Update API will be fails if patient's date of birth has future or invalid formatted date","3003","Verify that the Update API will be fails if patient's date of birth has future or invalid formatted date","features.APITests.steps","Wed Jan 21 10:40:13 UTC 2026","passed","Wed Jan 21 10:40:16 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API for different vaccine types","3686","Verify that the POST Create API for different vaccine types","features.APITests.steps","Wed Jan 21 10:32:52 UTC 2026","passed","Wed Jan 21 10:32:56 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if Disease Type is invalid","3437","Verify that Search API will throw error if Disease Type is invalid","features.APITests.steps","Wed Jan 21 10:37:53 UTC 2026","passed","Wed Jan 21 10:37:56 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient surname is invalid","1729","Verify that the POST Create API will fail if patient surname is invalid","features.APITests.steps","Wed Jan 21 10:35:19 UTC 2026","passed","Wed Jan 21 10:35:20 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient gender is invalid","1696","Verify that the POST Create API will fail if patient gender is invalid","features.APITests.steps","Wed Jan 21 10:35:26 UTC 2026","passed","Wed Jan 21 10:35:27 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if both date from and date to are invalid","2909","Verify that Search API will throw error if both date from and date to are invalid","features.APITests.steps","Wed Jan 21 10:38:18 UTC 2026","passed","Wed Jan 21 10:38:21 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that the POST method of Search API will be successful with all the valid parameters","3138","Verify that the POST method of Search API will be successful with all the valid parameters","features.APITests.steps","Wed Jan 21 10:37:03 UTC 2026","passed","Wed Jan 21 10:37:06 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API for different vaccine types","3212","Verify that the POST Create API for different vaccine types","features.APITests.steps","Wed Jan 21 10:33:38 UTC 2026","passed","Wed Jan 21 10:33:41 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if NHS Number is invalid","2251","Verify that Search API will throw error if NHS Number is invalid","features.APITests.steps","Wed Jan 21 10:37:28 UTC 2026","passed","Wed Jan 21 10:37:30 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","3065","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Wed Jan 21 10:36:30 UTC 2026","passed","Wed Jan 21 10:36:33 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if both different combination of dates and include is invalid","2280","Verify that Search API will throw error if both different combination of dates and include is invalid","features.APITests.steps","Wed Jan 21 10:37:46 UTC 2026","passed","Wed Jan 21 10:37:48 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient name is empty","1738","Verify that the POST Create API will fail if patient name is empty","features.APITests.steps","Wed Jan 21 10:35:24 UTC 2026","passed","Wed Jan 21 10:35:26 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if recorded has future or invalid formatted date","1726","Verify that the POST Create API will fail if recorded has future or invalid formatted date","features.APITests.steps","Wed Jan 21 10:34:43 UTC 2026","passed","Wed Jan 21 10:34:44 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that the POST method of Search API will be successful with all the valid parameters","3040","Verify that the POST method of Search API will be successful with all the valid parameters","features.APITests.steps","Wed Jan 21 10:37:16 UTC 2026","passed","Wed Jan 21 10:37:19 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/update.feature: Scenario Outline name: Verify that the Update API will be fails if recorded has future or invalid formatted date","3044","Scenario Outline name: Verify that the Update API will be fails if recorded has future or invalid formatted date","features.APITests.steps","Wed Jan 21 10:39:28 UTC 2026","passed","Wed Jan 21 10:39:31 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API for different vaccine types","3466","Verify that the POST Create API for different vaccine types","features.APITests.steps","Wed Jan 21 10:32:56 UTC 2026","passed","Wed Jan 21 10:33:00 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient forename is invalid","1767","Verify that the POST Create API will fail if patient forename is invalid","features.APITests.steps","Wed Jan 21 10:35:15 UTC 2026","passed","Wed Jan 21 10:35:17 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API for different vaccine types","3679","Verify that the POST Create API for different vaccine types","features.APITests.steps","Wed Jan 21 10:33:00 UTC 2026","passed","Wed Jan 21 10:33:03 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if include is invalid","2290","Verify that Search API will throw error if include is invalid","features.APITests.steps","Wed Jan 21 10:37:37 UTC 2026","passed","Wed Jan 21 10:37:39 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if both different combination of dates and include is invalid","2385","Verify that Search API will throw error if both different combination of dates and include is invalid","features.APITests.steps","Wed Jan 21 10:37:44 UTC 2026","passed","Wed Jan 21 10:37:46 UTC 2026","","Search the immunization of a patient","",""
