"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/update.feature: Flu event is created and updated twice","5637","Flu event is created and updated twice","features.APITests.steps","Mon Feb 02 11:01:18 UTC 2026","passed","Mon Feb 02 11:01:23 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if Disease Type is invalid","2251","Verify that Search API will throw error if Disease Type is invalid","features.APITests.steps","Mon Feb 02 11:00:12 UTC 2026","passed","Mon Feb 02 11:00:14 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/read.feature: Flu event is created and updated twice and read request fetch the latest version and Etag","6785","Flu event is created and updated twice and read request fetch the latest version and Etag","features.APITests.steps","Mon Feb 02 10:58:24 UTC 2026","passed","Mon Feb 02 10:58:31 UTC 2026","","Read the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/update.feature: Scenario Outline name: Verify that the Update API will be fails if recorded has future or invalid formatted date","3192","Scenario Outline name: Verify that the Update API will be fails if recorded has future or invalid formatted date","features.APITests.steps","Mon Feb 02 11:02:00 UTC 2026","passed","Mon Feb 02 11:02:04 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/update.feature: Scenario Outline name: Verify that the Update API will be fails if recorded has future or invalid formatted date","3188","Scenario Outline name: Verify that the Update API will be fails if recorded has future or invalid formatted date","features.APITests.steps","Mon Feb 02 11:02:07 UTC 2026","passed","Mon Feb 02 11:02:10 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/read.feature: Verify that the Read method of API will be successful and fetch valid imms event detail","3125","Verify that the Read method of API will be successful and fetch valid imms event detail","features.APITests.steps","Mon Feb 02 10:58:21 UTC 2026","passed","Mon Feb 02 10:58:24 UTC 2026","","Read the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","3224","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Mon Feb 02 10:59:06 UTC 2026","passed","Mon Feb 02 10:59:09 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","3362","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Mon Feb 02 10:58:40 UTC 2026","passed","Mon Feb 02 10:58:43 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that the POST method of Search API will be successful with all the valid parameters","3001","Verify that the POST method of Search API will be successful with all the valid parameters","features.APITests.steps","Mon Feb 02 10:59:42 UTC 2026","passed","Mon Feb 02 10:59:45 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API for different vaccine types","3438","Verify that the POST Create API for different vaccine types","features.APITests.steps","Mon Feb 02 10:55:57 UTC 2026","passed","Mon Feb 02 10:56:00 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/update.feature: Scenario Outline name: Verify that the Update API will be fails if occurrenceDateTime has future or invalid formatted date","3064","Scenario Outline name: Verify that the Update API will be fails if occurrenceDateTime has future or invalid formatted date","features.APITests.steps","Mon Feb 02 11:01:37 UTC 2026","passed","Mon Feb 02 11:01:40 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if expiration date has invalid formatted date","1781","Verify that the POST Create API will fail if expiration date has invalid formatted date","features.APITests.steps","Mon Feb 02 10:57:18 UTC 2026","passed","Mon Feb 02 10:57:19 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/delete.feature: Verify that the Delete event is not coming in Post Search API response","3204","Verify that the Delete event is not coming in Post Search API response","features.APITests.steps","Mon Feb 02 10:58:04 UTC 2026","passed","Mon Feb 02 10:58:07 UTC 2026","","Delete an immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient forename is invalid","1874","Verify that the POST Create API will fail if patient forename is invalid","features.APITests.steps","Mon Feb 02 10:57:29 UTC 2026","passed","Mon Feb 02 10:57:30 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if both date from and date to are invalid","2417","Verify that Search API will throw error if both date from and date to are invalid","features.APITests.steps","Mon Feb 02 11:00:40 UTC 2026","passed","Mon Feb 02 11:00:42 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Flu event is created and search post request fetch the only one record matched with identifier","3232","Flu event is created and search post request fetch the only one record matched with identifier","features.APITests.steps","Mon Feb 02 11:00:49 UTC 2026","passed","Mon Feb 02 11:00:52 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient forename is invalid","2853","Verify that the POST Create API will fail if patient forename is invalid","features.APITests.steps","Mon Feb 02 10:57:32 UTC 2026","passed","Mon Feb 02 10:57:35 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","3324","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Mon Feb 02 10:58:36 UTC 2026","passed","Mon Feb 02 10:58:40 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if NHS Number is invalid","2395","Verify that Search API will throw error if NHS Number is invalid","features.APITests.steps","Mon Feb 02 10:59:54 UTC 2026","passed","Mon Feb 02 10:59:57 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if date from is invalid","2245","Verify that Search API will throw error if date from is invalid","features.APITests.steps","Mon Feb 02 11:00:21 UTC 2026","passed","Mon Feb 02 11:00:23 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API will fail if patient's data of birth has future or invalid formatted date","1779","Verify that the POST Create API will fail if patient's data of birth has future or invalid formatted date","features.APITests.steps","Mon Feb 02 10:57:14 UTC 2026","passed","Mon Feb 02 10:57:16 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that Search API will throw error if both different combination of dates and include is invalid","2390","Verify that Search API will throw error if both different combination of dates and include is invalid","features.APITests.steps","Mon Feb 02 11:00:07 UTC 2026","passed","Mon Feb 02 11:00:09 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/search.feature: Verify that the GET method of Search API will be successful with all the valid parameters","3105","Verify that the GET method of Search API will be successful with all the valid parameters","features.APITests.steps","Mon Feb 02 10:58:56 UTC 2026","passed","Mon Feb 02 10:58:59 UTC 2026","","Search the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/update.feature: Verify that the update request will fail for invalid immunization id","1847","Verify that the update request will fail for invalid immunization id","features.APITests.steps","Mon Feb 02 11:02:35 UTC 2026","passed","Mon Feb 02 11:02:37 UTC 2026","","Update the immunization of a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that the POST Create API for different supplier fails on access denied","1801","Verify that the POST Create API for different supplier fails on access denied","features.APITests.steps","Mon Feb 02 10:56:36 UTC 2026","passed","Mon Feb 02 10:56:38 UTC 2026","","Create the immunization event for a patient","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/APITests/create.feature: Verify that VACCINATION_PROCEDURE_TERM, VACCINE_PRODUCT_TERM, SITE_OF_VACCINATION_TERM, ROUTE_OF_VACCINATION_TERM fields are mapped to correct instance of coding.display fields in imms delta table","2936","Verify that VACCINATION PROCEDURE TERM, VACCINE PRODUCT TERM, SITE OF VACCINATION TERM, ROUTE OF VACCINATION TERM fields are mapped to correct instance of coding.display fields in imms delta table","features.APITests.steps","Mon Feb 02 10:56:24 UTC 2026","passed","Mon Feb 02 10:56:27 UTC 2026","","Create the immunization event for a patient","",""
