"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: Verify that vaccination record will be get rejected if date_and_time is invalid in batch file","44245","Verify that vaccination record will be get rejected if date and time is invalid in batch file","features.batchTests.Steps","Wed Jan 21 12:45:31 UTC 2026","passed","Wed Jan 21 12:46:15 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if Person date of birth is invalid in batch file","44506","verify that vaccination record will be get rejected if Person date of birth is invalid in batch file","features.batchTests.Steps","Wed Jan 21 12:47:43 UTC 2026","passed","Wed Jan 21 12:48:28 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if expiry_date is invalid in batch file","44166","verify that vaccination record will be get rejected if expiry date is invalid in batch file","features.batchTests.Steps","Wed Jan 21 12:46:59 UTC 2026","passed","Wed Jan 21 12:47:43 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/update_batch.feature: Verify that the API vaccination record will be successful updated by batch file upload","41789","Verify that the API vaccination record will be successful updated by batch file upload","features.batchTests.Steps","Wed Jan 21 12:58:08 UTC 2026","passed","Wed Jan 21 12:58:50 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if Person nhs number, name and gender is invalid in batch file","38962","verify that vaccination record will be get rejected if Person nhs number, name and gender is invalid in batch file","features.batchTests.Steps","Wed Jan 21 12:48:28 UTC 2026","passed","Wed Jan 21 12:49:07 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: Verify that full dataset vaccination record will be created through batch file","66724","Verify that full dataset vaccination record will be created through batch file","features.batchTests.Steps","Wed Jan 21 12:43:31 UTC 2026","passed","Wed Jan 21 12:44:38 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file","48709","verify that vaccination record will be get rejected if mandatory fields for site, location and unique identifiers are missing in batch file","features.batchTests.Steps","Wed Jan 21 12:50:45 UTC 2026","passed","Wed Jan 21 12:51:34 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","44304","verify that vaccination record will be get rejected if non mandatory fields are empty string in batch file","features.batchTests.Steps","Wed Jan 21 12:53:16 UTC 2026","passed","Wed Jan 21 12:54:01 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/delete_batch.feature: Delete immunization event for a patient through batch file","53454","Delete immunization event for a patient through batch file","features.batchTests.Steps","Wed Jan 21 12:55:09 UTC 2026","passed","Wed Jan 21 12:56:03 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful if performer is invalid in batch file","45876","verify that vaccination record will be get successful if performer is invalid in batch file","features.batchTests.Steps","Wed Jan 21 12:49:07 UTC 2026","passed","Wed Jan 21 12:49:53 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/delete_batch.feature: Verify that the API vaccination record will be successful deleted and batch file will successful with mandatory field missing","39969","Verify that the API vaccination record will be successful deleted and batch file will successful with mandatory field missing","features.batchTests.Steps","Wed Jan 21 12:56:41 UTC 2026","passed","Wed Jan 21 12:57:21 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/delete_batch.feature: Verify that the API vaccination record will be successful deleted by batch file upload","38075","Verify that the API vaccination record will be successful deleted by batch file upload","features.batchTests.Steps","Wed Jan 21 12:56:03 UTC 2026","passed","Wed Jan 21 12:56:41 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/update_batch.feature: Verify that the API vaccination record will be successful updated and batch file will fail upload due to mandatory field missing","36213","Verify that the API vaccination record will be successful updated and batch file will fail upload due to mandatory field missing","features.batchTests.Steps","Wed Jan 21 12:59:39 UTC 2026","passed","Wed Jan 21 13:00:15 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: verify that vaccination record will be get successful with different valid value in gender field","52229","verify that vaccination record will be get successful with different valid value in gender field","features.batchTests.Steps","Wed Jan 21 12:49:53 UTC 2026","passed","Wed Jan 21 12:50:45 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/create_batch.feature: Verify that minimum dataset vaccination record will be created through batch file","52692","Verify that minimum dataset vaccination record will be created through batch file","features.batchTests.Steps","Wed Jan 21 12:44:38 UTC 2026","passed","Wed Jan 21 12:45:31 UTC 2026","","Create the immunization event for a patient through batch file","",""
"/home/runner/work/imms_fhir_api_automation/imms_fhir_api_automation/features/batchTests/update_batch.feature: Update immunization event for a patient through batch file","47390","Update immunization event for a patient through batch file","features.batchTests.Steps","Wed Jan 21 12:57:21 UTC 2026","passed","Wed Jan 21 12:58:08 UTC 2026","","Create the immunization event for a patient through batch file and update the record from batch or Api calls","",""
